id;name;energy,calculated (kJ);fat, total (g);carbohydrate, available (g);protein, total (g);alcohol (g);organic acids, total (g);sugar alcohols (g);sugars, total (g);fructose (g);galactose (g);glucose (g);lactose (g);maltose (g);sucrose (g);starch, total (g);fibre, total (g);fibre, water-insoluble (g);polysaccharides, non-cellulosic, water-soluble (g);fatty acids, total (g);fatty acids, total polyunsaturated (g);fatty acids, total monounsaturated cis (g);fatty acids, total saturated (g);fatty acids, total trans (g);fatty acids, total n-3 polyunsaturated (g);fatty acids, total n-6 polyunsaturated (g);fatty acid 18:2 cis,cis n-6 (linoleic acid) (mg);fatty acid 18:3 n-3 (alpha-linolenic acid) (mg);fatty acid 20:5 n-3 (EPA) (mg);fatty acid 22:6 n-3 (DHA) (mg);cholesterol (GC) (mg);sterols, total (mg);calcium (mg);iron, total (mg);iodide (iodine) (µg);potassium (mg);magnesium (mg);sodium (mg);salt (mg);phosphorus (mg);selenium, total (µg);zinc (mg);tryptophan (mg);folate, total (µg);niacin equivalents, total (mg);niacin, preformed (nicotinic acid + nicotinamide) (mg);vitamers pyridoxine (hydrochloride) (mg);riboflavine (mg);thiamin (vitamin B1) (mg);vitamin A  retinol activity equivalents (µg);carotenoids, total (µg);vitamin B-12 (cobalamin) (µg);vitamin C (ascorbic acid) (mg);vitamin D (µg);vitamin E  alphatocopherol (mg);vitamin K, total (µg)
33498;Chicken Schnitzel, Breaded, Cheese Filling, Fried;985;10.8;11.0;23.1;0;0.2;0;0.2;<0.1;<0.1;<0.1;<0.1;0.1;<0.1;10.8;0.5;0.4;0.1;10.1;2.2;4.3;3.4;0.1;0.5;1.6;1565;477;12;17;77.9;36.0;134.8;0.6;28.4;338.7;29.5;372.1;948.0;223.8;25.1;1.3;298.6;17.8;9.2;6.2;0.43;0.20;0.09;66.6;66.2;1.0;<0.1;0.6;1.8;20.29
7531;Chicken Schnitzel, Breaded, Fried;932;9.1;11.6;23.0;0;<0.1;0;0.2;<0.1;<0.1;<0.1;<0.1;0.1;<0.1;11.4;0.5;0.4;0.1;8.7;2.5;4.2;1.9;<0.1;0.6;1.8;1766;561;14;12;56.2;42.7;11.0;0.6;27.1;384.8;29.6;355.1;904.9;171.4;24.3;0.8;287.9;13.9;10.0;7.5;0.50;0.16;0.09;36.2;8.1;0.8;<0.1;0.5;2.0;21.67
30316;Chicken Schnitzel, Breaded, Kariniemi, Oven-Baked;1160;17.6;17.1;12.5;0;0;0;0.3;<0.1;0;<0.1;0;0.2;<0.1;16.8;0.8;0.6;0.2;16.7;4.8;9.0;2.9;<0.1;1.3;3.5;3457;1171;21;30;56.8;76.3;15.8;0.7;5.7;156.3;18.8;457.2;1164.9;104.4;14.9;0.7;178.8;8.9;5.5;3.7;0.19;0.08;0.04;23.6;1.4;0.1;0;0.4;2.2;43.94
32199;Chicken Soup;183;0.9;3.4;5.0;0;0.1;0;0.7;0.2;<0.1;0.3;0;0;0.2;2.6;0.6;0.4;0.2;0.9;0.2;0.4;0.3;<0.1;<0.1;0.2;143;23;6;5;12.3;3.5;11.5;0.3;13.0;162.8;9.0;189.8;483.5;40.4;3.6;0.3;65.6;10.4;1.7;1.9;0.14;0.04;0.05;31.9;497.5;0.1;2.5;0.1;0.2;13.93
33813;Chicken Soup, Industrial, Rainbow, Ready Meal;266;4.2;3.6;2.5;0;0.3;0;1.1;0.4;0.1;0.3;<0.1;<0.1;0.4;2.5;0.4;0.3;0.1;4.1;0.3;1.2;2.6;<0.1;<0.1;0.2;194;60;3;2;12.7;4.7;14.9;0.2;2.2;80.0;6.3;320.7;817.2;28.3;1.6;0.2;32.9;4.2;0.9;0.9;0.06;0.03;0.02;100.6;1203.6;<0.1;0.8;<0.1;0.2;9.53
31443;Chicken Soup, Industrial, Ready Meal;314;4.5;5.5;2.9;0;0.2;0;1.9;0.2;<0.1;0.2;<0.1;<0.1;1.4;3.6;0.4;0.3;<0.1;4.2;0.5;1.4;2.3;<0.1;0.1;0.4;332;100;3;2;10.8;7.8;29.4;0.2;1.9;77.7;6.6;339.3;864.6;42.2;2.0;0.2;37.5;5.1;1.0;0.9;0.06;0.04;0.02;94.4;1199.2;0.1;0.8;<0.1;0.3;9.19
7501;Chicken Soup With Celeriac And Leek;399;6.1;0.9;9.2;0;<0.1;0;0.1;<0.1;<0.1;<0.1;<0.1;<0.1;<0.1;0.7;0.2;0.1;<0.1;5.8;1.3;3.1;1.5;<0.1;0.1;1.1;1114;120;0;8;46.2;6.4;9.4;0.6;17.3;100.2;8.7;191.8;488.8;84.5;6.1;0.6;126.9;5.0;2.8;2.9;0.22;0.06;0.02;19.6;108.6;<0.1;0.6;0.3;0.5;30.17
31445;Chicken Soup With Coconut Milk;340;6.3;1.3;4.8;0;<0.1;0;1.2;0.2;0;0.2;0;<0.1;0.7;0.1;0.4;0.3;0.2;5.9;0.3;0.6;5.0;<0.1;<0.1;0.2;205;14;6;5;10.7;14.9;13.7;1.0;9.2;148.7;16.7;343.3;874.8;59.3;3.3;0.5;61.9;9.3;1.9;2.0;0.11;0.05;0.03;25.3;347.8;0.1;1.0;0.2;0.2;12.59
34707;Chicken Soup With Tomato;221;1.6;3.9;5.0;0;0.2;0;1.5;0.7;<0.1;0.6;0;0;0.2;2.4;1.0;0.4;0.2;1.5;0.4;0.7;0.3;<0.1;0.1;0.3;323;95;3;2;11.1;10.6;12.0;0.3;7.2;237.3;12.8;313.4;798.5;49.9;5.5;0.3;62.4;14.6;1.8;1.9;0.16;0.05;0.05;33.7;2633.0;0.1;5.0;<0.1;0.5;6.06
7502;Chicken Soup With Vegetables And Potato;361;4.5;3.2;8.1;0;0.1;0;0.4;0.1;<0.1;<0.1;0;0;0.2;2.8;0.4;0.4;0.1;4.3;0.9;2.2;1.1;<0.1;<0.1;0.8;812;63;0;7;37.9;4.7;9.1;0.6;14.4;178.8;12.3;156.8;399.4;79.8;5.1;0.6;109.4;10.7;2.6;2.6;0.21;0.06;0.05;43.5;634.0;<0.1;4.2;0.3;0.3;26.14
